			 			12252
Department of Computer Science, Technion-Israel Institute of Technology, Haifa, Israel			Technion - Israel Institute of Technology			32
George Mason University			 			32
Google, Mountain View, CA, USA			Google			32
Microsoft Research Cambridge, Cambridge, United Kingdom			Microsoft			32
Mississippi State University			 			32
National Chiao Tung University, Hsinchu			National Chiao Tung University			32
Stanford University, Stanford			Stanford University			32
Texas A&M University, College Station			Texas A&M University			32
Tufts University			 			32
Universidad de Córdoba			 			32
University of Auckland, Auckland, New Zealand			The University of Auckland			32
University of California, Davis, Davis			University of California, Davis			32
University of California, Irvine, Irvine, CA			University of California, Irvine			32
University of Helsinki			University of Helsinki			32
Beijing University of Posts & Telecommunications			 			31
Binghamton University			 			31
Cornell University, Ithaca, New York, USA			Cornell University			31
Dalian University of Technology			 			31
Florida International University			 			31
Georgia Tech, Atlanta, GA, USA			 			31
Harvard University, Cambridge, MA			University of Cambridge			31
IBM T. J. Watson Research Center, Yorktown Heights, NY, USA			IBM			31
Kent State University, Kent, OH, USA			 			31
Monash University			Monash University			31
Nanjing University of Science & Technology			 			31
Oxford Brookes University			Oxford Brookes University			31
Stony Brook University, Stony Brook			Stony Brook University			31
Technische Universität München			Technische Universität München			31
The Hebrew University of Jerusalem, Jerusalem, Israel			Hebrew University of Jerusalem			31
The Pennsylvania State University			Pennsylvania State University			31
University of California, Davis, Davis, CA, USA			University of California, Davis			31
University of Colorado Boulder			University of Colorado at Boulder			31
University of Essex			 			31
University of Mannheim, Mannheim, Germany			 			31
University of Twente			University of Twente			31
Università degli Studi di Verona			 			31
Uppsala University			Uppsala University			31
Adobe Systems, Inc.			 			30
Bilkent University			 			30
Eindhoven University of Technology, Eindhoven, Netherlands			Eindhoven University of Technology			30
Emory University, Atlanta, GA, USA			 			30
General Electric Company			 			30
Heriot-Watt University			 			30
Intel			Intel			30
Nankai University			 			30
Qualcomm Incorporated			 			30
Soochow University, Suzhou, China			 			30
Sumsung			 			30
University of California, Los Angeles, Los Angeles, CA, USA			University of California, Los Angeles			30
University of Florida, Gainesville, FL, USA			University of Florida			30
University of Illinois at Urbana Champaign, Urbana, IL			University of Illinois at Urbana-Champaign			30
University of North Carolina Charlotte			 			30
University of Pisa			 			30
University of Rochester, Rochester, NY, USA			University of Rochester			30
University of Tsukuba, Tsukuba, Japan			 			30
Xiamen University			 			30
York University, Toronto, ON, Canada			University of Toronto			30
Aarhus University, Aarhus, Denmark			Aarhus University			29
Bilkent University, Ankara, Turkey			 			29
CS), Italy			 			29
CWI, Amsterdam, Netherlands			 			29
Chinese University of Hong Kong, Hong Kong			Chinese University of Hong Kong			29
City University of Hong Kong, Kowloon, Hong Kong			City University of Hong Kong			29
Consejo Superior de Investigaciones Científicas			 			29
Department of Computer Science, University of California, Davis, CA			University of California, Davis			29
Georgia Tech			 			29
INRIA			 			29
Iowa State University, Ames			Iowa State University			29
Korea University, Seoul, South Korea			Korea University			29
Macquarie University			 			29
Oregon State University, Corvallis, OR			Oregon State University			29
Swansea University			 			29
The Hebrew University			 			29
The University of Hong Kong, Hong Kong			University of Hong Kong			29
Tongji University			 			29
UCLA, Los Angeles, CA, USA			University of California, Los Angeles			29
University of Erlangen Nuremberg			 			29
University of Illinois at Chicago, Chicago, IL			University of Illinois, Chicago			29
University of Sheffield, Sheffield, United Kingdom			The University of Sheffield			29
University of Toronto, Canada			University of Toronto			29
Wayne State University			 			29
École Nationale des Ponts et Chaussees			 			29
Chalmers University of Technology			 			28
Columbia University, New York			Columbia University			28
Department of Computer Science and Engineering, University of Washington, Seattle, WA			University of Washington			28
Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL			University of Florida			28
Department of Electrical and Computer Engineering, Iowa State University, Ames, IA			Iowa State University			28
Department of Electrical and Computer Engineering, University of Toronto			University of Toronto			28
George Mason University, Fairfax, VA			 			28
Georgia Institute of Technology, Atlanta, Georgia, USA			Georgia Institute of Technology			28
Google, Inc., Mountain View, CA, USA			Google			28
HP Labs, Palo Alto, CA, USA			HP Labs			28
Hewlett-Packard Labs, Palo Alto, CA, USA			 			28
Lehigh University			Lehigh University			28
Lund University Lund Institute of Technology			Lund University			28
Microsoft Research, Redmond, USA			Microsoft			28
NEC Laboratories America, Cupertino, CA			NEC			28
Nagoya University			 			28
National Cheng-Kung University, Tainan			National Cheng Kung University			28
Pacific Northwest National Laboratory			 			28
Paris Dauphine University			 			28
Syracuse University			 			28
University of Caen Lower Normandy			 			28
University of California, Santa Cruz			University of California, Santa Cruz			28
University of Glasgow			University of Glasgow			28
University of Iowa			University of Iowa			28
University of Ljubljana			 			28
University of Saskatchewan, Saskatoon, SK, Canada			 			28
University of Tasmania			 			28
University of Texas San Antonio			 			28
University of Trento, Trento, Italy			 			28
University of Windsor			 			28
Università Ca' Foscari Venezia			 			28
Victoria University of Wellington, Wellington, New Zealand			Victoria University of Wellington			28
Yahoo! Labs, Santa Clara, CA, USA			Yahoo			28
Bell Laboratories, Alcatel-Lucent, Murray Hill, NJ			 			27
Carleton University			 			27
Centrum Voor Wiskunde en Informatica			 			27
Chinese University of Hong Kong, Hong Kong, Hong Kong			Chinese University of Hong Kong			27
Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada			University of Waterloo			27
Drexel University, Philadelphia, PA			 			27
Drexel University, Philadelphia, PA, USA			 			27
IBM India Research Lab, New Delhi, India			IBM			27
Johannes Kepler University, Linz, Austria			 			27
Laboratoire Lorrain de Recherche en Informatique et Ses Applications			 			27
Michigan State University, East Lansing, MI, USA			Michigan State University			27
Microsoft Research India			Microsoft			27
Nat. Lab. of Pattern Recognition, Chinese Acad. of Sci., Beijing, China			 			27
New York University, New York, NY			New York University			27
RMIT University			RMIT University			27
Ryerson University			 			27
Technion - Israel Institute of Technology, Haifa, Israel			Technion - Israel Institute of Technology			27
